Unnamed: 0,ID,arabic,danish,english,german,greek,esperanto,spanish,mexican spanish,farsi,finnish,french,hawaiian,hebrew,hindi,hungarian,icelandic,indonesian,bahasa indonesia,italian,japanese,korean,maori,dutch,norwegian,polish,portuguese,russian,samoan,swedish,thai,tagalog,turkish,vietnamese,chinese,cantonese
0,160605018771292160,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,703454024526987296,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
